id,name,age,gender,city,country,credit_card,full_address,user_source_type,user_status,product_name,category,subcategory,price,date_purchase,quantity,rating,comment,user_id,product_id,date_purchase_id,comment_id,total
2011,b'gAAAAABlumZ125BSr9e8bsduMyV3SRqRwSpXWU8RPrrMXOxlRZPYehyH0hOJ9Pe3gfQEzg4IwYqTOr0Zgji1cKBg3MBMg8GOZQ==',94,F,Williamsview,Malawi,b'gAAAAABlumZ2agWwcmkNq3llnaXoOY9hfPK8gUjEcf-hFRPbdDLstM-U6TIQc7pWv6Kf2Itgme35IMiucYC17iKW0Hwn-tbWIFw0E1BXfda1TBfBnEM2iNM=',b'gAAAAABlumZ2gIZNY_y2o_z11bnfoGqgeMMfMxF8Ay_nfVM-xVJW4n9_1ByN77gF5BI0RWe38dFj9tYiSF7uZ6P_tP52fED998aN2Xhmy_0_vawOTeLPl3BzO0DvRm02xd46CyWDbC28',Yearly,Active,MegaSpeaker,Electronics,Speaker,778.0,2019-03-14,4,3,Quas nostrum quasi architecto ipsam quia optio repudiandae.,806,42,57,2054,3112.0
2012,b'gAAAAABlumZ1x9q2HF6GsO8kjDNY_8PB_QjKgL8yzEue0wf0h20n5nArh7hDBmeq3nwg9bhGkEu_SjkrQhTPGSGbSWMlelXQ5g==',59,M,North Cynthiaburgh,Swaziland,b'gAAAAABlumZ2N22Rdfj42zZoHnFAnt_ZvCKr0ZFlOHTnhSzx_BbhDHn_KGLhC2FBK2eLH2LygadYP2Q02iErvjg7U3SJNYZdYsjMCy8j0jb1AU1KshcRhGQ=',b'gAAAAABlumZ2xW8i12NuD14s3FZ87CEK8tX-26c_GWsC9tF6_15CPhQ5wYgxlnCnPfLDLK4xwTwClSKcAwPgYTPuYb2chkpEYXBywPuKkr1HxszDUfW610fQOr3t1zjdQiN2vChChEa-',Yearly,Active,ProPants,Clothing,Pants,32.0,2021-08-18,5,4,Dicta aut id nam non.,287,54,767,552,160.0
2013,b'gAAAAABlumZ1qEgB8P77_YIK9khMZNtYpnD3AY03NNzhbBVluEo3vpwM44_HbgDD5ogDu7C_gkFzTD16TRBd4oxbEdmYM55v2w==',85,M,Kingland,New Zealand,b'gAAAAABlumZ2VuP4l9rmIfvBmjdSveepJhggfJOdwfxOogpZV3oKnXXMuDOJjnr6yjICWE0iwlaKUNzcpryiWNznsWoYhwI1YCloIj1drNB5nVJtDcCQM9Y=',b'gAAAAABlumZ20TKVO6yY2kYZfDNYIMJN7O367p8NeqBeCAuDWoqHq1eNWl3cRY_al5lC0X4sr6DYzRQQdQTNLyO7VfQtjIIi5G2VhXoSqDu_pW4IhLIVcqcJgAnJN0QSt8pWB5EX9lgg',Rarely,Churned,TastyVegetables,Grocery,Vegetables,45.0,2019-09-13,5,5,Qui ipsam laboriosam rem quam.,433,70,213,2106,225.0
2014,b'gAAAAABlumZ160vy-L-xiuFiCABEMgBHFaBmGo7hbVl0h5ebHzajrYVg90HLPwF4QJRiSy65D_Yd8U21CrnenQSWrS1rTgMYwA==',42,F,New Hayden,Guyana,b'gAAAAABlumZ2nKcFUJXYl6ndXyJ9FJgVckppuIuv1ZIbytRuUT6295ICUs_LNThn7dplYa9XC-22BQ9A2jLmLYawvwfQ7_c1Zug6yQu49qjH24m8Rz0-Vb0=',b'gAAAAABlumZ27nAVfCIkNUKmkZiYlBoA4jQep-M042S2Bkbly61jK3vn-V27Cen2X1KQzQz8t6E6JBoQSIyr-fsuT528AGaVP0P-uipemktaaTHHpUPXoDl3lQLHhvqJz9NeVATjocm6',Yearly,Churned,MegaLaptop,Electronics,Laptop,724.0,2020-11-29,5,4,Omnis nesciunt sit autem facilis blanditiis quibusdam cumque.,99,39,552,1900,3620.0
2015,b'gAAAAABlumZ1r7Y2GVIwMEHumRT4aM2OpddCjEFxkkeBUEFO0yY9gx4-bGTyhuJKQfsWQYAL9ii5iJJxJHhSi7ECY6rM_V34CA==',68,F,Jamesport,San Marino,b'gAAAAABlumZ2NDlN3dw-Q9m7tq83gqHeAxxMsd4GIpMlJHWp0Tt4-B2YgldZRAgM6C5Slgm9ftkDAi9F1IAIKpS1TOWo-URWsobvAd_S2f5DD2TOuRWeQUA=',b'gAAAAABlumZ2bBimQWi1NQSN9J_c8LCfR_K3Z17RFr3uKjemOeYUQTZTQi3I1owgiF3gLXb45OZcHtBiXlsR7xNb4_3JavkVVx1Iwaris5BFEL9szkO6y2r79xQ8sT1U74KU-qK1d96gr83R9W4bo515pWr6lBKVPA==',Rarely,Active,Non-fictionTales,Books,Non-fiction,29.0,2023-04-01,1,4,Repellat sequi cupiditate ea ipsam voluptas eaque tempore aut.,578,46,1237,2360,29.0
2016,b'gAAAAABlumZ1QFVPOe3W3wN77dTZ5w81w6RBqdtIDQQboyrLjheNu3nyt_379I3YDDKz25DGLLl3kuwlpPO8aRvPeY4k8LvN2Y3kq4UpbzV_lc0PsO11EfQ=',85,M,Wisemouth,Lesotho,b'gAAAAABlumZ24VpzfoYoEDrra_oDScc5cpdnz7CwHYjVXXf2Q8EFDt8pQVP1AAnmif7cfoKM-X232l2k-8J3pgVzVJEeABVK99V4cwRwFga3t6YMLGYVC78=',b'gAAAAABlumZ2BBNR89OBAzCaeFHdrYnmFNcgxKwT3yR-oeLrckeyzeR2fBZAyWp5kG35OYsRidqm2CvNriG5B4nSa4dKW27CRUP3IeSNdZkaCNQUIcvjJ77tSRJ1hwY_1eVpyB3K-CeY',Yearly,Churned,PhoneMaster,Electronics,Phone,27.0,2021-11-02,7,3,Quas eum omnis ipsa ut dolorem sed.,185,49,829,2052,189.0
2017,b'gAAAAABlumZ1uZ8rotSSJhMOimRQDZeP3_pVzdZaS-01byXqlJTKt0Sz25ISiI5CqXhjsuMkUBalTHFOvajwv9mCEWC2UBfG9g==',64,M,Marissaland,Bhutan,b'gAAAAABlumZ21rsdbveROR0JNyc8bdekf2UqDRhCX8cIYYVCWqq7sNdLfOe39FWkd5iWuI2c-babBSm45EN-Gmpt-5ohRCwcYR-H56wnmHSKYrN6_haQ6M8=',b'gAAAAABlumZ28w9ke67N7tAKgg4ybiTHioIyPGnnAMqqjIuXGhZNovbLYC2HAYxDkfO79KmWDHjhuG0eeZcN2paI2_3aATmNlj6DkDy-DKE4-dFTZih8pqrBlILk1yxSLt6MJ8QyNuzSpkZZS43mMhpKS_etshNTmQ==',Yearly,Active,FreshBeverages,Grocery,Beverages,47.0,2023-06-24,3,4,Sit in ea aut aperiam esse id molestias.,1261,30,1300,2548,141.0
2018,b'gAAAAABlumZ1FaN-MFOVqxFnpzx7RDfdcWs_6LkEt6smzIzbbwEd728rymon5XOeGoh1STnY7eYfmk-z9grRCPLec_9fB3Yn0Q==',62,M,Jonesport,Guadeloupe,b'gAAAAABlumZ2bvBcZHCr6K6PPSu5d4EN5dVV57AK87ymjg35Aeu8d102UP_LVswrS8Rxhag-cqxX778sysq0tQtQ21GlKZowyCMxW7PXRe3aOPOgCN4MBtA=',b'gAAAAABlumZ2O6IZa8s8fHTw4Lk6f04OAepU4X2L32LosWPZI6cBGZ9OrPaX_kJxPiFcl6Ildxn6eTGLrVIJVoYqy-BQF9qIpQE1YrmPEyO4Nb3ZypIvInvpk1L3t9q5xSS6tat0ATg_',Yearly,Active,FreshSnacks,Grocery,Snacks,217.0,2020-08-13,10,4,Recusandae culpa repellendus dolor et qui maxime.,522,31,466,2330,2170.0
2019,b'gAAAAABlumZ1QkWgd0yhbDaKzqMNuKrvbSl_oNtKrsYDPgcVamSWT9Rafdfu-6ZGY3-GOzf4GWqsARmeC5bi_mUyUp2rxvbVnA==',51,F,Gibsonhaven,Solomon Islands,b'gAAAAABlumZ27O6wwiv84uSEDPw4Ixp-uwDBps059gTxdYYLwMxWLj6vN5MVB5aF7vyITBXASO3oaW2a3_zAz7jPqiWeVl9nYRWhZFXc_nQd5i7esaDMSoI=',b'gAAAAABlumZ2BzRtEN3navX9qwE4JpiAuXvIKhXBXC7o5vrRUbV5wOfvsLhN2feeSLe4zKDBUYP-VBuMKAofMrhlUVatCh3MRwV1dnI5F-0BSsQK7YBCwufuELZxmrGuuyoDuhLFsVbCTlQAMhiV3UxOC4ErwLRrIg==',Yearly,Active,TastyBeverages,Grocery,Beverages,295.0,2020-06-03,1,2,Minima aut doloremque magnam rem quia officia ea.,322,68,415,1559,295.0
2020,b'gAAAAABlumZ1X1zt2DckzRx68vrCnNFqrHOyQjBW9-ZZ3v6CBNPviS_xKF_7c-JRGxJePUo_19yD2kkDEt1zKTDxPNRI22kAUw==',46,F,Lake Aaronborough,Ghana,b'gAAAAABlumZ2URmLKUCb8-pti12E--gwwJyOH0LmY0DKTVl4SyGjo6goCd9pO8AHMLLOHfu8ijMmKXwoYL_MyU5g0IjUGB7CUhO4X4m1P-ZsubHnpiFEx0A=',b'gAAAAABlumZ2szr_68zoOsXRkxdCDF768CRQ6d9ysudH9KpOXqixyTE0cObMAfyW0LwsbV772AIjQwb1wsQuO3V5bbGW-1YeIMFJptcvt23tWJt3MeqSmdBuh2C8v3YpMw-_v5NNhMtzKLAAu5QNbdWPb3w6tvw1iA==',Yearly,Churned,ChairPlus,Furniture,Chair,433.0,2023-08-13,10,3,Earum ipsa est ea incidunt mollitia.,140,19,1339,752,4330.0
2021,b'gAAAAABlumZ1RoAFbQ1eMaMW_KTzH3Zw2nwt50QqwyGywt4g0ZeGRBzBwYhJOoF2PiRnwvcGmcafJnp8uancKVM52SIReF5UCw==',87,F,South Stephanieberg,Bahamas,b'gAAAAABlumZ2h7if-ET7por8cZqHV-90vZzSAC0nhKkJZfKwBmxWw_Kt_CLal4QT5IZULBNByFUHEIqjSWX-DstzvEL1GVG9h9c407J1wQdcJQ15QKEU9VY=',b'gAAAAABlumZ2V-tB5hTtiCNHd5M0n8FDsbh-KJgPgtk49fsFzshbzwRckt9opxyJxeZFinDoIXPKJvs7f-vlsw3_fZqtlXsdUXLFniihdXn6VSHX1tE2MD0Y9xWuvHSYN48C8TvJ-fqZd_covmqwqoZAvwW9b_AZZw==',Yearly,Churned,The Art of Non-fiction,Books,Non-fiction,898.0,2021-04-11,4,4,Labore maxime et ut aut eaque ut sit.,639,73,664,1455,3592.0
2022,b'gAAAAABlumZ1t55_dIqj4XrGVV6skLk_F1njDPksDvjOTjEIfex8M2BclPMlkw9NCWFOjSNoKq7eWTK0DQynitQPXmnibLREpw==',51,M,West Eric,Fiji,b'gAAAAABlumZ25mLd1OEUxRZM56xT0i87AU4yn82PcCYU6cRMwrFK2ObS8oifvq4RSvVsSQ-b1UnK8v5jZMse23HqPcXcyCuDQ4OAg97WR3ckXpZLpvT4TG4=',b'gAAAAABlumZ2dnCLS39mRFzrht7yx-wf7Up-UpPJOpH59UV9mXyoIBs-pXykqUuEu_r9zbxQwLfsKPW__Ydt40KvA5qrG4YPKmRx7MahkshS8U_IIZUwV18gOKIiBRB9M26x2UWyQjrv',Yearly,Churned,FreshSnacks,Grocery,Snacks,941.0,2023-03-22,7,1,Consequatur dolor et minus consequatur.,626,31,1229,379,6587.0
2023,b'gAAAAABlumZ1rpT0z0hAyNlKDKvEjR48hcMp36NFZ5Bl-vI1tB-fpUHcgduAZCig3UDiAMaRMPVqY0dKvQpjxnpbfmt_j6bw9g==',53,F,South Daniel,Marshall Islands,b'gAAAAABlumZ2BDOujqGl3O8ZL0vWSBPU9tOiqXgABzVASl87A3KMM_pIBrsxoVI2tTtRhIMdCzPL4XGzgTfeD4YUIK7vbUTQqEQw8fe7vIaqimVHUI1beJs=',b'gAAAAABlumZ238AMWbaW1Yv19OFTxN-JcYRXuzFrjk5ROsL8bmvnAp7gpuN8lctjxGk8Ql3qd7vl6MVMzH3viKtEE7Au2roy_69Dfj8nzBSAc-Nqy6hTqz8mZQ-qfFNGg4TUaeHUSo79KkGOvIZ5mR4U6GbvsEw6WA==',Monthly,Active,JacketWear,Clothing,Jacket,431.0,2023-03-08,3,2,Dolorem ratione ad voluptas consequatur deserunt.,521,35,1219,646,1293.0
2024,b'gAAAAABlumZ1xYaxn5iMAvQqyb3wgyaG4BQWTJm4ibgF7fwW4IJymPvgZ1hQuUB5xquc_umtStHYM1S_RjVmU5S7CzJnWiDRtg==',20,M,South Lisa,Lithuania,b'gAAAAABlumZ2fwxmJayAKI5dST18dK8O0P5PixO9AGDaEncHrZ4sVGgPtdFE0zP1vu0wNr3DJu1mNUf5S45ASyXTjPexUxsdXlTvQiM7AfetMQxFm3ZN6nk=',b'gAAAAABlumZ2a8E_Xw32VUX0UU-fszyCFWv0uEbOduQBbh244gh6eelSkrm6B-wrqP6zU1dlxN5MUUtQrvH0ijD8QWnthR6IJ3VSnp1jM7Y05qsNHSQXk2_BK0xfGu2LcbkRMWpU5gSwDoCB1xCzViGuVw0r0xDdTQ==',Yearly,Active,ShirtFits,Clothing,Shirt,34.0,2022-02-27,6,5,Eos doloribus consectetur nihil occaecati beatae nesciunt.,363,57,918,810,204.0
2025,b'gAAAAABlumZ17pxb25LMrMY3cO5rRG0PSe4wtBdUfJIMpAxF89qbp90R8yLU63_BfGy1XRt_nHEARHf3t4nxpTMXdd04Wu3ljA==',30,M,Bellville,Mismatched Country,b'gAAAAABlumZ2FvWcPSqDzkM9HCCDjE8EQlIZaxTnVgDXuSWF1B8JufEJdWTNaVhra5cwJhLUYFX4KMVzsoXtRGKkt1HtuY7fnyveLNz_fy-izfeHq_SyJbQ=',b'gAAAAABlumZ2PCOFrB1Fc9W-0R1SxjHSApsiPVwzhhCUY5hDqswqpp5BmVpcI4KqGGpEOP3u_i7VqxWkKLpM1scupThao3XEKMnbOb4AAKsAjlYN-R9oTMWrvkzIpR6E8eZKHXJ_4lw0',Yearly,Active,TastyBeverages,Grocery,Beverages,295.0,2021-09-26,2,3,Asperiores ducimus et pariatur commodi ad.,369,68,801,152,590.0
2026,b'gAAAAABlumZ1urojWyIjVqaakVVof0P-Ji526BFpTZYG-Yu-lY883HGgnlKQZbIS0KXGvFQyxNgDZICvofz1OXA1tpyKlWu3sA==',58,F,Mccallburgh,Faroe Islands,b'gAAAAABlumZ2OKjV5nOMK8WZUONqv_6D3F8UTvmFQEVsRq60XmxFUxDzi7nSevNHfLOSVWVlRWHMTfrOYE87yLCTrWFcxat_2F6ss2NrD-ym47582QxpQEs=',b'gAAAAABlumZ2App8F63iXMJNm41TGB_JuLQaIkxrxHLzzmpaFOwDmedrM6kkW3YMMFcZV8cmKn4kCX9tdLaq7_s3h7-WyXrWyJcRrJXWjeUyYhfXYX4rc7Hu7X4HYZD_kADu61Koj7oD',Rarely,Churned,FreshVegetables,Grocery,Vegetables,69.0,2020-11-25,10,2,Mollitia distinctio aut officia qui rerum excepturi.,229,32,549,1632,690.0
2027,b'gAAAAABlumZ1w1ERZ4ktSEA4TKnJEVPS6nioez5bZKzKxOmSWnGmSLLEkNQ9ufgefDJlNO9ljQNOG9xkRBCwCgOM8N2-s80Y6AF63JGnGgLDczysuQVPZXc=',64,M,South Charleston,Congo,b'gAAAAABlumZ2qUV23rEAseOz46km-hGNn2h13Ow46BBt4YY7wUzEtMYVUpa60rKUx0jjxqT3jXjdyDtsA2yD_Kx_5_Klwr2F_sO3p4GPAOfZSqY6Qg1KFa0=',b'gAAAAABlumZ2145l_eYBMO77anpOvdwGqD9iHBahdyeV2LmfE3wV5h_505Kl5LF7LVzflhfE-kHTnWsS9dVkLs0cIhiGa0Z5r6Aqwes6MgwWOgzXDL53s3OU5a5F1LEa4Rc_8QwlMSx1HI3VWJVKM0CmnJDYwyO95g==',Rarely,Churned,ShirtWear,Clothing,Shirt,233.0,2022-02-26,9,1,Aliquam consequuntur non ab repudiandae nostrum perferendis sunt dignissimos.,46,59,917,75,2097.0
2028,b'gAAAAABlumZ1T4QIg5Eq3yHtVkFgwN453kZ_NQjOXAdP7fPZNa1_3obyq1LHn5MM7fjDuJpuMbDbHGW8sqf7YAzyzLS7Fma_6A==',36,F,Garciaberg,Iran,b'gAAAAABlumZ24KjRetmP8VfMojfyjdfEznus6vWw-04x_2bhQtOB9gGI_ok6i-7x3feWY-60S8qVmcVAWO49sidck-OqPwJ7bhKwUlYqiVXSqsKAuxVM1Hw=',b'gAAAAABlumZ2bxwYTwHCzDY6DBqkGYO0_mio3z39_6SrrwQuWicyzQepYuZovQ-T19OPoOM5Lpkhy9ZlhmXzwftAjpS18PK1oLwgEQ8SWBy31Ucl1-DC4ydWUMC_7cTKrC1-i8Y0YQNU',Monthly,Churned,EducationalTales,Books,Educational,908.0,2020-09-08,7,4,Delectus amet omnis similique doloremque et quibusdam occaecati.,370,25,484,508,6356.0
2029,b'gAAAAABlumZ1PqyklWftmtzRTWPPM90iuNryeKYmqEiWp7BVe32UldGWUTeYPWOQAdCc6tvtogVIG2teT4KvqruA4J7rIrbvwA==',63,F,West Thomasfort,Uzbekistan,b'gAAAAABlumZ2wW1SHeGeopa7oJHixUgUXMjOf_63nERRVJm8UyrIyJjVxPfVGHUkyl_bz-yEAjpQlaKcJ0BmPhFSpscznMBjj-UZ4OTKsUsWPOUpnc1_nSQ=',b'gAAAAABlumZ2Oo3_eq0Q9q6-3wgmglV045X_OBB42CcFGRcNcEIGwOR4twcHtlMcBcqZHGQE_s_1A6aTIYLPhJYb2u020LSbHFB_RMolHJiXZtLGtk0SOFmNHHEzfPt1bKuoEod12RMUQP2R3sbzJFe8jkZAN1Z_ew==',Monthly,Churned,FreshVegetables,Grocery,Vegetables,99.0,2022-05-31,1,4,Nobis alias et quia vel maxime.,68,32,993,1738,99.0
2030,b'gAAAAABlumZ1ym9fkNfelLS3yi1pJo1ri8nyXb0dcPO6SJdQTw8oj4Y0qLd-mLf--i4pC1LlRZBk1WMKDDIlR7yeM900B17zno0E_qQbQP9klEnTkpNOhTA=',38,F,West Deborahside,Hungary,b'gAAAAABlumZ2yLVqUEZh468fgYrqblDOhjyV-Fj_MXAIu8OA6IV5CuiBPExQAM1FK_JMTqgLEuir-kM0jHwDe89iEdMhDL8zR2dQkt30fIBYNdrGJniGwgM=',b'gAAAAABlumZ2Na2dhRaV17qAum4wZuga0NUQ2kOTxem57AiHVLGSyKQ1UBCg2Dp49PFFSFwPMzXM3lbxL_el0EPov6xbKiH6il1jCqZTIIpobjY_yoDaWo8Js4E2K3-KlNuCJrIriEZL',Monthly,Active,ComfortSofa,Furniture,Sofa,637.0,2022-10-29,10,1,Consequatur odit sed ut quidem iste eligendi voluptatibus.,160,22,1108,391,6370.0
