id,name,age,gender,city,country,credit_card,full_address,user_source_type,user_status,product_name,category,subcategory,price,date_purchase,quantity,rating,comment
2011,Mariah Haley,94,F,Williamsview,Malawi,2279377944300641,"USNV Dunlap, FPO AE 26664",Yearly,Active,MegaSpeaker,Electronics,Speaker,778.00,2019-03-14,4,3,Quas nostrum quasi architecto ipsam quia optio repudiandae.
2012,Danielle Berg,150,M,North Cynthiaburgh,Swaziland,2283451366495652,"213 David Forest Suite 735, Mckinneymouth, WI 03386",Yearly,Active,ProPants,Clothing,Pants,-32.00,2021-08-18,5,4,Dicta aut id nam non.
2013,Gerald Joseph,85,M,Kingland,New Zealand,5209076535429821,"17681 Jimenez Route Suite 075, East Robertberg, NJ 40047",Rarely,Churned,TastyVegetables,Grocery,Vegetables,-45.00,2019-09-13,5,5,Qui ipsam laboriosam rem quam.
2014,Arthur Warren,-1,F,New Hayden,Guyana,2254098446683578,"628 Judy Club, Theresatown, FL 67447",Yearly,Churned,MegaLaptop,Electronics,Laptop,724.00,2020-11-29,5,4,Omnis nesciunt sit autem facilis blanditiis quibusdam cumque.
2015,John Thompson,150,F,Jamesport,San Marino,2262752144719049,"1373 Flores Harbors Suite 646, Jamesbury, NC 12450",Rarely,Active,Non-fictionTales,Books,Non-fiction,-29.00,2023-04-01,1,4,Repellat sequi cupiditate ea ipsam voluptas eaque tempore aut.
2016,Cassidy Dickson,85,M,Wisemouth,Lesotho,5372214127176788,"787 Greg Locks Suite 378, Lake Tracy, SC 74993",Yearly,Churned,PhoneMaster,Electronics,Phone,-27.00,2021-11-02,7,3,Quas eum omnis ipsa ut dolorem sed.
2017,Virginia Davis,64,M,Marissaland,Bhutan,2239306947961314,"807 Amanda Cove, Port Jeremiahview, SD 69008",Yearly,Active,FreshBeverages,Grocery,Beverages,-47.00,2023-06-24,3,4,Sit in ea aut aperiam esse id molestias.
2018,Jennifer Gibson,-1,M,Jonesport,Guadeloupe,2245851640348014,"53128 Sharon Brook Suite 011, Rogerville, KY 30589",Yearly,Active,FreshSnacks,Grocery,Snacks,217.00,2020-08-13,10,4,Recusandae culpa repellendus dolor et qui maxime.
2019,Denise Lawson,5,F,Gibsonhaven,Solomon Islands,2404582915881416,"973 Zhang Neck, Maryside, ID 66011",Yearly,Active,TastyBeverages,Grocery,Beverages,295.00,2020-06-03,1,2,Minima aut doloremque magnam rem quia officia ea.
2020,Brenda Clark,-1,F,Lake Aaronborough,Ghana,2309709454422981,"4741 Warren Forks Suite 293, New Julie, MS 37884",Yearly,Churned,ChairPlus,Furniture,Chair,433.00,2023-08-13,10,3,Earum ipsa est ea incidunt mollitia.
2021,Kara Thomas,87,F,South Stephanieberg,Bahamas,5250394162791308,"221 Warren Isle Apt. 689, South Brent, MS 87656",Yearly,Churned,The Art of Non-fiction,Books,Non-fiction,898.00,2021-04-11,4,4,Labore maxime et ut aut eaque ut sit.
2022,Julie Harrington,150,M,West Eric,Fiji,2262394278104167,"9693 Mitchell Street, Port Molly, CA 40567",Yearly,Churned,FreshSnacks,Grocery,Snacks,941.00,2023-03-22,7,1,Consequatur dolor et minus consequatur.
2023,Jennifer Garcia,150,F,South Daniel,Marshall Islands,2283979443908271,"10316 Chris Vista Suite 575, South Melissachester, MS 28215",Monthly,Active,JacketWear,Clothing,Jacket,431.00,2023-03-08,3,2,Dolorem ratione ad voluptas consequatur deserunt.
2024,Dwayne Williams,20,M,South Lisa,Lithuania,2228873502469853,"33559 Brian Track Suite 527, Stewartmouth, MN 67453",Yearly,Active,ShirtFits,Clothing,Shirt,-34.00,2022-02-27,6,5,Eos doloribus consectetur nihil occaecati beatae nesciunt.
2025,Edwin Ford,150,M,Bellville,Mismatched Country,2222853894824929,"212 Jessica Pike Apt. 676, Silvafort, IL 27455",Yearly,Active,TastyBeverages,Grocery,Beverages,295.00,2021-09-26,2,3,Asperiores ducimus et pariatur commodi ad.
2026,Christopher Preston,4,F,Mccallburgh,Faroe Islands,5378650958022563,"44859 Schmidt Divide Suite 824, Lake Williamstad, AS 56197",Rarely,Churned,FreshVegetables,Grocery,Vegetables,-69.00,2020-11-25,10,2,Mollitia distinctio aut officia qui rerum excepturi.
2027,Amy Gray,5,M,South Charleston,Congo,2426670590901320,"3957 Cook Locks, Port Jason, AK 71417",Rarely,Churned,ShirtWear,Clothing,Shirt,233.00,2022-02-26,9,1,Aliquam consequuntur non ab repudiandae nostrum perferendis sunt dignissimos.
2028,Eileen Downs,0,F,Garciaberg,Iran,5178681982397608,"475 Ramsey Hollow Apt. 938, West Cherylton, MT 98894",Monthly,Churned,EducationalTales,Books,Educational,908.00,2020-09-08,7,4,Delectus amet omnis similique doloremque et quibusdam occaecati.
2029,Angela Bean,150,F,West Thomasfort,Uzbekistan,2505057048752840,"085 Christina Estates, Port Haley, KY 53045",Monthly,Churned,FreshVegetables,Grocery,Vegetables,-99.00,2022-05-31,1,4,Nobis alias et quia vel maxime.
2030,Brooke Wilkins,-1,F,West Deborahside,Hungary,2720269060258023,"6343 Darren Lodge, West Travis, AZ 25723",Monthly,Active,ComfortSofa,Furniture,Sofa,637.00,2022-10-29,10,1,Consequatur odit sed ut quidem iste eligendi voluptatibus.
2031,Megan Jones,0,F,Jenkinshaven,Saint Helena,2255071335354808,"46169 Brown Valley Apt. 972, East Marthaburgh, NC 33167",Yearly,Active,SofaPlus,Furniture,Sofa,-29.00,2019-12-20,6,3,Ea animi repellat id voluptatibus suscipit aut cum.
2032,Craig Powell,150,M,North Joshuashire,Lesotho,2510024471675255,"07856 Holloway Villages Apt. 573, West Derektown, VA 58237",Yearly,Churned,ProPants,Clothing,Pants,-88.00,2023-07-17,8,1,Porro consequuntur dolorem deleniti necessitatibus et voluptas.
2033,Cynthia Martinez,5,M,East Eugenestad,French Polynesia,2244890701488377,"USCGC Brennan, FPO AA 83470",Yearly,Active,FreshVegetables,Grocery,Vegetables,-84.00,2023-09-24,2,3,Aut labore laborum adipisci aperiam quos.
2034,Melissa Sharp,0,M,Karenberg,Latvia,5134331046758220,"03247 Tanya Glens Suite 683, Brownside, MA 90804",Monthly,Churned,TablePlus,Furniture,Table,-77.00,2023-09-22,8,5,Omnis distinctio voluptas aut nulla.
2035,Daniel Trujillo,-1,F,South Joshua,North Macedonia,2642344781329174,"60544 Schroeder Spurs Apt. 652, South Preston, FM 34986",Monthly,Churned,ComfortChair,Furniture,Chair,513.00,2020-10-27,7,3,Nemo qui ut laborum quasi nihil.
2036,Daisy Williams,5,M,South Jeffreyberg,Congo,2593814301335264,"PSC 2027, Box 9118, APO AE 88311",Rarely,Churned,FictionTales,Books,Fiction,-6.00,2023-01-11,3,4,Magnam voluptate aut quis tempore quasi.
2037,Allen Garcia,150,F,East Pamelaside,Bahamas,5500203933652525,"8084 Michael Shoals Apt. 120, Michaelborough, CA 52576",Yearly,Active,LaptopMaster,Electronics,Laptop,668.00,2021-01-31,4,5,Error in nemo sed alias accusamus eveniet cumque.
2038,Tina Bailey,41,M,Susanburgh,Liberia,5200955801432735,"81185 Ramirez Meadows, Matthewstad, ME 62473",Yearly,Active,BeveragesBurst,Grocery,Beverages,534.00,2023-03-13,1,5,Voluptates dolore aut commodi adipisci deserunt.
2039,Alyssa Long,-2,F,Lake Steventon,Czech Republic,2232575380827565,"14073 Wyatt Pines Suite 499, North Thomashaven, SC 90939",Yearly,Churned,ComfortChair,Furniture,Chair,161.00,2020-12-01,8,1,Illo dolorem nam quo et architecto blanditiis.
2040,David Smith,10,F,Tiffanytown,Mismatched Country,2242047684597672,"11092 Allison Mission Suite 910, South Justinville, MP 77058",Yearly,Churned,VegetablesBurst,Grocery,Vegetables,-49.00,2021-03-02,9,4,Odit molestiae autem voluptatem officia quae laboriosam.
2041,Leah Murillo,-4,M,East Mathew,Cook Islands,2221493950043428,"1344 Gomez View Suite 879, Ryanbury, OK 50867",Monthly,Active,Non-fictionGuide,Books,Non-fiction,-95.00,2023-11-22,1,2,Enim necessitatibus qui qui deleniti deserunt ut in.
2042,Christopher Romero,-4,M,South Patricia,Georgia,5494320871174219,"6205 Robinson Stream, Popeborough, MS 77572",Rarely,Churned,SofaDeluxe,Furniture,Sofa,911.00,2022-10-01,9,2,Incidunt neque tempore aut totam ullam magni.
2043,Nicholas Garcia,150,F,North Heather,China,2221518887371839,"79480 Derrick Landing, West Daniel, ND 83954",Yearly,Active,SofaDeluxe,Furniture,Sofa,-1.00,2023-09-12,9,1,Odio corporis voluptas deleniti enim.
2044,David Ellison,3,M,Woodland,Grenada,2277973550467310,"099 Brown Harbors Suite 425, Josephhaven, OK 85883",Rarely,Churned,ProJacket,Clothing,Jacket,913.00,2023-01-17,6,4,Ad nam voluptas voluptatem eveniet.
2045,Evan Garcia,150,F,Westmouth,Monaco,2550845975731447,"60267 Thomas Mill, Port Danielfort, RI 39872",Rarely,Churned,Non-fictionTales,Books,Non-fiction,870.00,2020-10-16,9,4,Quibusdam officia eos et neque nihil illum laboriosam.
2046,John Williams,150,M,Smithbury,Jersey,2720090342270606,"1082 Scott Ramp, Estradaborough, KS 36857",Yearly,Active,NULL,Furniture,Table,853.00,2022-06-22,8,2,Expedita debitis quia aliquid ut omnis error sapiente.
2047,Jennifer Davis,150,F,Chenstad,Guinea,2664386060931868,"PSC 6076, Box 3397, APO AP 30914",Monthly,Churned,PantsFits,Clothing,Pants,-29.00,2022-07-23,7,1,Ullam aliquid nostrum quidem amet adipisci est fuga quod.
2048,Brandon Lowe,3,M,Michaelberg,Switzerland,2245712997903241,"559 Morris Stravenue Suite 341, Wendymouth, TN 91409",Rarely,Churned,ShirtWear,Clothing,Shirt,805.00,2022-12-03,7,5,Et dolores culpa et.
2049,Ruben Garcia,150,F,Bryanthaven,Tanzania,5534364796327561,"301 Steven Knolls Suite 429, Gabrielstad, MA 54130",Yearly,Active,LaptopPro,Electronics,Laptop,791.00,2022-04-18,9,5,Impedit enim rerum ut qui sequi amet.
2050,Timothy Clay,-1,F,Mcleanport,Serbia,2235036169613210,"85236 Miranda Alley, Blakeshire, KY 56922",Yearly,Churned,VegetablesBurst,Grocery,Vegetables,-19.00,2021-04-15,9,2,Excepturi esse rerum atque quasi doloremque.
2051,Jennifer Gibson,-1,M,Jonesport,Guadeloupe,2245851640348014,"53128 Sharon Brook Suite 011, Rogerville, KY 30589",Yearly,Churned,ShirtFits,Clothing,Shirt,490.00,2019-11-06,4,1,Et porro qui expedita nihil blanditiis voluptas.
2052,Derek Rojas,3,F,Leahton,Albania,2665558821077798,"69471 Allen Club, New Deborahstad, WI 16679",Yearly,Active,SnacksBurst,Grocery,Snacks,-36.00,2019-01-12,7,4,Quis ut repellat enim dolor sapiente corporis.
2053,Kevin Miller,0,F,Lake Lindseychester,Australia,2459248663967443,"852 Michael Wall, Ellisonside, TN 15426",Yearly,Active,UltraSpeaker,Electronics,Speaker,-41.00,2022-03-14,1,5,Earum nulla vero accusantium ipsam vero sit iusto.
2054,Melinda Moore MD,83,F,Proctormouth,Bermuda,2275194241991673,"51198 Michael Ramp Suite 001, Lake Tonymouth, MS 36815",Yearly,Active,EducationalGuide,Books,Educational,-57.00,2020-01-03,9,2,Quos asperiores aut nesciunt ratione.
2055,Kenneth Lopez,150,M,East Joseville,Liberia,2407202983068179,"696 Michael Land, Lake Lawrence, FM 35107",Yearly,Churned,PhonePro,Electronics,Phone,340.00,2022-04-30,8,4,Non nam tempore et magni vel qui.
2056,Teresa Smith,-3,M,Cervantesbury,Brazil,2696507710360099,"PSC 5753, Box 4817, APO AE 56142",Yearly,Churned,UltraLaptop,Electronics,Laptop,361.00,2022-04-17,10,5,Voluptatem ex ab recusandae similique et qui aut.
2057,Austin Ramos,2,M,Cochranchester,Belgium,5590787626051400,"22886 Rhonda Grove Suite 519, West Stevenhaven, TX 75093",Yearly,Active,ComfortSofa,Furniture,Sofa,299.00,2023-09-03,3,1,Delectus nihil et deserunt similique et reiciendis.
2058,Nicholas Johnson,77,M,North Michael,Lao People's Democratic Republic,2720611231058537,"423 Chavez Garden Apt. 744, Port Levi, AL 60465",Yearly,Churned,ShirtWear,Clothing,Shirt,-70.00,2021-12-07,9,2,Nostrum neque voluptates totam iusto qui.
2059,Matthew Fox,-3,M,South Larryshire,Nigeria,2226761170925151,"629 Nancy Isle Suite 619, Lake Rachel, PR 92164",Yearly,Churned,BeveragesBurst,Grocery,Beverages,-28.00,2021-12-20,4,2,Exercitationem sunt veritatis praesentium ut ad aliquid.
2060,Dwayne Williams,20,M,South Lisa,Lithuania,2228873502469853,"33559 Brian Track Suite 527, Stewartmouth, MN 67453",Yearly,Churned,FreshSnacks,Grocery,Snacks,728.00,2021-06-17,4,1,Officia sequi maxime amet tempore harum adipisci.
2061,Jose Owens,26,F,Nicolefort,Mismatched Country,5577835408230812,"007 Cline Plains, North Heatherbury, NV 16808",Rarely,Churned,MegaLaptop,Electronics,Laptop,-19.00,2023-07-10,2,2,Sequi neque in et fugiat eum et.
2062,Sarah Mcdonald,31,F,Cynthiafurt,Niue,2709883108415844,"50264 Donald Isle Suite 293, Millerfort, CT 38223",Monthly,Active,FreshVegetables,Grocery,Vegetables,512.00,2023-05-03,3,5,Doloremque quasi facere autem odio rem tempore tempore.
2063,Theresa Brewer,47,F,Lake Susanbury,Saint Vincent and the Grenadines,2368115928033545,"8217 Alexis Mountains Suite 492, New Danielleland, ND 18635",Monthly,Churned,SpeakerPro,Electronics,Speaker,-5.00,2020-04-26,8,1,Dolore facere voluptatem labore ullam.
2064,Duane Jackson,76,M,East Angieton,Malaysia,2229001286793145,"4422 James Stream Apt. 285, East Elizabethchester, MS 02031",Monthly,Active,PhoneMaster,Electronics,Phone,-3.00,2021-06-20,6,1,Vel eveniet omnis et quis sit velit qui sed.
2065,Kayla Blackwell,64,M,Tylermouth,Pitcairn Islands,5162568596142306,"8063 Stacy Valleys, East Jamesfort, VI 60244",Yearly,Churned,VegetablesBurst,Grocery,Vegetables,-24.00,2021-04-25,4,5,Ut vel qui et.
2066,Peter Carter,-1,M,Loristad,Oman,2295505440494100,"096 Gavin Row Apt. 171, Kennedyfurt, SD 91766",Yearly,Active,UltraLaptop,Electronics,Laptop,-91.00,2019-08-19,9,2,Quisquam non incidunt alias ab saepe.
2067,Christopher Hill,-3,F,Joshuaborough,Nauru,5300176385930080,"94633 Bishop Lodge, East Larry, AZ 69550",Yearly,Active,FreshSnacks,Grocery,Snacks,-96.00,2023-03-16,3,1,Vel autem error magni dolores corporis.
2068,Kristen Smith,0,F,South Patriciaton,Botswana,5294521304095960,"14951 Thornton Circle Apt. 668, Sanchezshire, IN 23040",Yearly,Active,NULL,Clothing,Pants,436.00,2023-07-17,5,2,Et voluptatum quia ut voluptatem voluptatem autem voluptatem.
2069,Jason Campbell,89,F,East Paul,Cameroon,2267364594832416,"5327 Dalton Vista, Princebury, MP 18022",Yearly,Active,NULL,Books,Non-fiction,-77.00,2021-11-18,4,3,Nostrum aut amet amet aspernatur numquam.
2070,Wendy Richardson,60,M,Valenciamouth,Sri Lanka,2228311358211640,"98349 Richard Square, Lawsonview, DE 74953",Rarely,Active,SpeakerPro,Electronics,Speaker,180.00,2019-01-14,8,3,Nostrum aspernatur id nesciunt ea dicta.
2071,Shannon Price,150,M,North Curtisland,Comoros,5376928118720348,"8994 Olson Expressway Suite 761, Morganberg, AR 21366",Rarely,Churned,UltraLaptop,Electronics,Laptop,-55.00,2020-05-30,5,2,Veritatis aut sit dolores accusantium.
2072,John Woodward,150,M,Port Dariusport,Austria,2707917471169596,"144 Wise Stream Apt. 565, West Jacob, VT 93255",Yearly,Active,UltraPhone,Electronics,Phone,-5.00,2019-11-05,1,2,Est ipsam voluptatem et voluptas beatae possimus qui officiis.
2073,George Williams,87,F,Lake Kim,Slovenia,2583059060095335,"1418 Nelson Creek Apt. 742, Hobbsview, MT 08360",Yearly,Active,NULL,Furniture,Sofa,-47.00,2020-02-01,6,1,Quia quae numquam odit mollitia beatae provident sapiente.
2074,Jacob Eaton,5,F,Davidmouth,Ethiopia,2247861652964226,"7095 Caleb Mountains, Virginiaburgh, FL 11239",Yearly,Active,ShirtWear,Clothing,Shirt,-61.00,2020-06-21,8,4,Minima iusto tempora perferendis est autem pariatur praesentium.
2075,Tyler Myers,150,F,South John,Russian Federation,2720485746460698,"49009 Julia Center, Mckinneytown, WI 60913",Yearly,Active,ShirtFits,Clothing,Shirt,37.00,2019-05-03,10,3,Modi id dolores velit ut ullam aut laboriosam quibusdam.
2076,Curtis Jones,150,F,Joshuamouth,North Macedonia,2268779183240474,"438 Steven Burgs, Tatetown, NV 17081",Yearly,Churned,EducationalGuide,Books,Educational,-15.00,2022-12-20,6,1,Maxime ut id ea sit dignissimos vero.
2077,Kimberly Clark,150,F,South Josechester,Finland,2326435332771501,"52622 Clark Causeway Suite 029, Brentstad, OK 28683",Monthly,Churned,SpeakerPro,Electronics,Speaker,-86.00,2021-11-22,6,1,Praesentium aspernatur nihil distinctio quod ex dolores aut molestiae.
2078,Tracey Roberts,0,M,Port Joshua,Saudi Arabia,2245175932275218,"93161 Ferrell Corner Apt. 787, Jordanfurt, KS 56092",Yearly,Churned,TastyBeverages,Grocery,Beverages,730.00,2019-07-04,3,4,Suscipit nihil vitae quia aliquam dolore perferendis.
2079,Joshua Melendez,39,M,West Joelport,Trinidad and Tobago,2711928300234497,"970 Veronica Crossroad, South Kennethview, MH 68193",Monthly,Churned,SpeakerPro,Electronics,Speaker,-40.00,2020-02-22,5,3,Consequatur nostrum et facilis minus cum.
2080,Sonya Palmer,150,F,South Haileyfurt,Algeria,2288949558821952,"07194 Warren Cliffs, Bergshire, AR 61898",Monthly,Churned,ChairPlus,Furniture,Chair,555.00,2019-12-09,4,3,Id quia repudiandae veritatis qui.
2081,Nicholas Johnson,1,M,Johnchester,Saint Barthelemy,2720555968652493,"5162 Johnson Burgs, South Benjaminborough, ME 65050",Yearly,Churned,FreshVegetables,Grocery,Vegetables,-36.00,2020-01-05,2,1,Aperiam assumenda voluptatum reiciendis sint eius est.
2082,Michael Sanchez,150,F,Briannaton,Portugal,2272367583185566,"026 Deborah Brook Apt. 084, East Kimberly, TX 65153",Monthly,Active,LaptopMaster,Electronics,Laptop,822.00,2020-08-20,10,5,Minima voluptatem cumque adipisci excepturi porro et voluptas.
2083,Christopher Solis,64,F,Ellisfort,Suriname,2412947573637824,"80004 Kristine Wells Suite 727, North Sandra, CO 32908",Rarely,Active,PantsWear,Clothing,Pants,526.00,2021-11-07,1,3,Neque natus ea sit aut.
2084,Jennifer Russell,150,F,South Amandaview,Lithuania,2256040154311982,"63699 Felicia Crescent, North Annetteview, CO 14945",Yearly,Churned,PhoneMaster,Electronics,Phone,133.00,2020-01-25,2,5,Enim velit iste dicta necessitatibus.
2085,Jorge Stephens,150,F,Lorraineview,Nigeria,2242306297484961,"446 Matthew Orchard, Bradland, MD 50786",Rarely,Active,SpeakerMaster,Electronics,Speaker,586.00,2023-08-30,5,2,Aut est non earum veniam non.
2086,Brittany Davenport,-4,M,South Austinmouth,Yemen,2272413498912130,"4456 Rich Street Suite 152, Bakerstad, GU 06752",Yearly,Active,ShirtDeluxe,Clothing,Shirt,457.00,2022-12-07,2,2,Vel nobis et et.
2087,Mariah Riddle,44,F,Kellerview,Lithuania,5134741060399687,"458 James Gateway, East Amandaview, TX 61383",Yearly,Churned,ChairPlus,Furniture,Chair,412.00,2019-06-04,7,2,Mollitia maxime corrupti sunt nobis autem non.
2088,Nicole Collins,150,F,Melissaside,Mozambique,5422796515110353,"58923 Davis Village Apt. 257, North James, MT 69841",Yearly,Churned,FreshBeverages,Grocery,Beverages,-84.00,2023-03-31,7,1,Neque voluptate non consequuntur qui iste.
2089,Natalie Bailey,17,M,Lake Matthew,Armenia,2233142780275256,"421 Spencer Village, North Christopher, MI 82557",Monthly,Churned,ComfortSofa,Furniture,Sofa,-19.00,2019-01-14,6,1,Ea suscipit voluptatem laborum eum est.
2090,Paul White,150,M,Mcclainmouth,Israel,5267301751701441,"PSC 3308, Box 2774, APO AA 20515",Yearly,Churned,The Art of Educational,Books,Educational,-96.00,2022-11-06,2,4,Explicabo dolores est perspiciatis delectus unde.
2091,Jonathan Cabrera,99,M,Port Elizabeth,Japan,2709703279666639,"27532 Greene Crossroad Suite 294, West Toddview, IN 33001",Yearly,Active,MegaLaptop,Electronics,Laptop,-76.00,2020-07-28,7,1,Numquam quos voluptatem veritatis voluptates tempora quisquam impedit.
2092,Dr. Bradley Tran MD,150,F,Josephmouth,Vanuatu,2242031115270521,"88730 Emma Inlet, West Taraland, IN 13558",Yearly,Churned,MegaSpeaker,Electronics,Speaker,-51.00,2023-12-13,1,5,Ducimus molestiae enim sunt distinctio.
2093,Christina Andrews,-3,M,Brianborough,Belarus,2579952129853619,"46378 Walker Union Apt. 264, Anthonytown, SD 42857",Rarely,Active,PantsFits,Clothing,Pants,-1.00,2022-10-11,6,4,Soluta labore et magni incidunt fugiat est sed.
2094,Kimberly Mcbride,13,M,New Jennifer,Germany,2276018786738075,"384 James Rapid Apt. 383, New Josephport, DC 70276",Monthly,Active,ProPants,Clothing,Pants,681.00,2022-09-15,1,2,Ea ut ut quaerat repudiandae.
2095,Johnny Johnson,2,M,New Joseph,Libyan Arab Jamahiriya,2292909027272207,"005 Anderson Estate, Port Donnafort, IA 65657",Monthly,Active,PhonePro,Electronics,Phone,408.00,2022-09-28,1,2,Ratione eum vel maxime architecto eum repellendus officia.
2096,Thomas Gonzalez,52,F,South Douglas,Lithuania,2226210403666588,"2577 Bonnie Flats, Lake Lauraside, NM 50357",Yearly,Active,TastyVegetables,Grocery,Vegetables,-82.00,2023-09-14,3,4,Sunt neque dolore quos tempora provident voluptas.
2097,Kayla Moore,-4,F,Thompsonstad,Cuba,2285540500943342,"4212 Palmer Mission Apt. 278, New Jasonhaven, ID 90222",Yearly,Churned,ComfortChair,Furniture,Chair,87.00,2019-07-21,4,1,Quidem magni quae dolorum quia recusandae autem saepe voluptatem.
2098,Jason Morrison,99,M,South Emilytown,Oman,2253478552220475,"934 Christopher Ferry Apt. 993, North Jamiemouth, IA 87057",Monthly,Active,FictionGuide,Books,Fiction,-74.00,2019-02-04,1,5,Vitae provident sunt ut vero et officiis.
2099,Joseph Rodriguez,150,M,Jamieville,Tajikistan,2294884476645500,"5747 Williams Roads Suite 831, Lake Thomas, PW 81855",Rarely,Churned,ProPants,Clothing,Pants,-42.00,2019-05-08,5,2,Nihil atque ratione architecto veniam quia.
2100,Brenda Hendrix,97,F,New Rossfurt,Czech Republic,2720382123796390,"068 David Gateway, West Daniel, MP 11634",Rarely,Active,PhonePro,Electronics,Phone,408.00,2020-01-06,8,3,Et ut qui qui.
2101,Richard Santos,-4,M,Carlyport,Western Sahara,5553260117503185,"6667 Lynch Rue Suite 965, Brooketon, IN 01329",Yearly,Active,JacketFits,Clothing,Jacket,-90.00,2024-01-04,8,2,Odio distinctio sapiente vitae perspiciatis laboriosam.
2102,Caitlin Atkinson,-5,M,New Andrew,Cape Verde,2708903348445632,"69799 Shaun Village Suite 781, Cherylchester, MT 89062",Yearly,Churned,NULL,Grocery,Beverages,140.00,2020-01-13,5,1,Et eos et quia et soluta eligendi.
2103,Raymond Anderson,64,M,Millerborough,Mozambique,5204496354111760,"94507 Jerry Squares Suite 962, Dukemouth, AR 06517",Yearly,Churned,ChairDeluxe,Furniture,Chair,206.00,2021-04-25,9,2,Fugiat quasi asperiores quo.
2104,Erik Roberts,150,F,Port Paulfurt,United States Virgin Islands,2705176166721409,"41592 Janice Cove Apt. 330, Markton, IL 18462",Yearly,Active,NULL,Furniture,Chair,61.00,2023-10-22,10,1,Et pariatur odio qui molestiae id aliquid modi.
2105,Kimberly Maynard,150,F,West Amy,North Macedonia,2291744570984895,"74344 Ramsey Crest, East Michelle, ND 68512",Rarely,Churned,TastyBeverages,Grocery,Beverages,612.00,2021-03-06,2,3,Iste id aut impedit libero repellat deserunt est non.
2106,Kevin Hopkins,41,M,West Josephview,Ecuador,2718004134146662,"700 Foley Common, Madisonbury, MO 28075",Yearly,Churned,UltraLaptop,Electronics,Laptop,-28.00,2023-05-28,10,1,Dolor quas a temporibus.
2107,Tracey Roberts,0,M,Port Joshua,Saudi Arabia,2245175932275218,"93161 Ferrell Corner Apt. 787, Jordanfurt, KS 56092",Yearly,Active,PantsWear,Clothing,Pants,-84.00,2023-03-23,5,3,Ut maxime sequi deleniti modi.
2108,Michelle Wells,3,M,New Mallorychester,Kenya,2292799336312525,"7469 Hess Trafficway, Seanberg, NV 07661",Yearly,Churned,ShirtFits,Clothing,Shirt,150.00,2022-10-31,1,3,Maiores omnis voluptate dolor.
2109,Norman Frazier,64,M,South Marychester,Rwanda,5349796815853264,"743 Daniel Ridges, Brentburgh, CO 24466",Rarely,Churned,ProShirt,Clothing,Shirt,-46.00,2023-04-04,8,3,Excepturi nobis quo rerum.
2110,Kayla Blackwell,64,M,Tylermouth,Pitcairn Islands,5162568596142306,"8063 Stacy Valleys, East Jamesfort, VI 60244",Yearly,Active,EducationalTales,Books,Educational,-7.00,2020-02-01,10,5,Et delectus ut voluptatibus eaque.
