"id","name","age","gender","city","country","credit_card","full_address","user_source_type","user_status","product_name","category","subcategory","price","date_purchase","quantity","rating","comment","created_at","updated_at"
"18","Kyle Cunningham","150","M","Cruzburgh","Palau","2238316323702324","998 Larry Common Suite 011, Lake Vincentmouth, IN 16994","Yearly","Churned","ShirtWear","Clothing","Shirt","-69.00","2022-11-22","3","1","Facere qui odit aperiam consequatur.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"19","Debra Nelson","150","M","Lake Vanessaview","Comoros","2285923410834852","26418 Bernard Pine Apt. 910, Port Zacharyburgh, MS 35515","Yearly","Active","UltraSpeaker","Electronics","Speaker","-46.00","2023-06-05","3","2","Iste consequatur aspernatur assumenda ipsa blanditiis quisquam iste.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"20","Eileen Downs","0","F","Garciaberg","Iran","5178681982397608","475 Ramsey Hollow Apt. 938, West Cherylton, MT 98894","Monthly","Active","EducationalTales","Books","Educational","-58.00","2023-01-28","7","1","Vel ex quisquam rerum qui.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"21","Gabriel Hill","26","F","Shawnport","Tokelau","2265368060975593","2916 Glenn Vista Suite 454, North Danielle, NM 46814","Monthly","Churned","VegetablesBurst","Grocery","Vegetables","-49.00","2022-01-03","6","5","Consequatur vero voluptatem dignissimos consequuntur.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"22","Jacob Walls","150","M","Velazquezville","Congo","2296749384928744","602 Keith Ways, Johnland, TN 90853","Yearly","Active","TableDeluxe","Furniture","Table","-1.00","2022-02-17","10","2","Fugit ut nemo ratione.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"23","Megan Brady","82","F","Lake Samuel","Marshall Islands","5571382747120749","46880 Juarez Plaza Apt. 579, North Michaelborough, IL 02657","Yearly","Churned","MegaPhone","Electronics","Phone","-49.00","2019-04-20","9","1","Quia facere voluptatem voluptas qui dicta.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"24","Michael Johnson","150","F","Nicholsonstad","Fiji","2240065226839305","6990 York Vista, East Dylan, WI 77029","Rarely","Active","ShirtFits","Clothing","Shirt","-84.00","2021-05-31","7","4","Voluptatum ea aut dolore.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"25","Bonnie Martin","41","F","Gailberg","Saint Barthelemy","2224196329260261","6310 Francis Port, Alexandraside, VI 60631","Yearly","Churned","SofaDeluxe","Furniture","Sofa","911.00","2020-03-02","1","2","Pariatur reiciendis facilis et facere laboriosam ullam.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"26","Linda Miller","-5","M","Lake Keithberg","Canada","2291667686586405","493 Ricky Land Apt. 752, Stevenberg, CO 64072","Yearly","Active","Non-fictionGuide","Books","Non-fiction","-73.00","2021-04-12","7","3","Sunt quidem cupiditate dolores deserunt occaecati autem ducimus.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"27","Dustin Patton","150","F","Emilyfort","Qatar","2720210283832384","84246 Williams Prairie Apt. 792, Geneshire, MT 92192","Monthly","Active","TastyBeverages","Grocery","Beverages","542.00","2023-04-02","1","5","Placeat et nesciunt earum dolor voluptatem aspernatur labore.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"28","Daniel Jacobs","77","F","Woodberg","Mismatched Country","2265532972946519","Unit 1754 Box 1609, DPO AP 88404","Rarely","Churned","SofaPlus","Furniture","Sofa","-13.00","2022-06-14","1","5","Veritatis dolorum suscipit libero delectus.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"29","Allison Hernandez","39","F","Carlton","Djibouti","2253162737745842","36706 Gary Track, Nicholsfurt, NC 01169","Rarely","Active","ChairDeluxe","Furniture","Chair","-12.00","2021-05-21","2","2","Quasi iure doloribus sunt ea deserunt natus enim.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"30","Gail Taylor","93","F","Jillianberg","Solomon Islands","2396617444427842","16303 Randall Point, North Cherylburgh, DE 30494","Monthly","Churned","ChairPlus","Furniture","Chair","542.00","2020-08-23","1","4","Quas qui velit molestiae ex rerum et.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"31","Michelle Torres","99","M","Dudleyborough","Reunion","2429807510293720","96972 Deborah Terrace Suite 935, New Julie, GA 32965","Yearly","Churned","EducationalGuide","Books","Educational","891.00","2023-06-02","6","5","Odit consequatur animi quibusdam incidunt molestias a.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"32","Douglas Garcia","5","M","Lake Lisaside","Uganda","5584145469540385","3299 Susan Field, Adammouth, NC 65258","Yearly","Churned","JacketFits","Clothing","Jacket","338.00","2020-11-15","9","4","Qui laboriosam ad similique impedit facilis molestias dolores laboriosam.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"33","Megan Mora","-2","M","Wilsonstad","Brazil","2239765721585674","18193 Kelly Ways, East Robert, AR 19000","Yearly","Churned","ComfortTable","Furniture","Table","-22.00","2022-01-31","4","3","Nihil beatae omnis qui fuga rerum veritatis.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"34","Carolyn Rivera","150","F","North Davidfort","Swaziland","2250710741098740","3574 Campbell Throughway Suite 880, Port Kennethfurt, DE 30652","Yearly","Churned","SofaPlus","Furniture","Sofa","-13.00","2019-10-03","8","1","Et natus laudantium expedita dolor.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"35","Rhonda Butler","89","F","Dominguezburgh","Seychelles","2226260751191093","691 Owens Meadow Apt. 890, Murillotown, SD 88384","Yearly","Active","The Art of Fiction","Books","Fiction","952.00","2023-09-15","8","2","Culpa nulla eos a explicabo.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"36","Paul White","150","M","Mcclainmouth","Israel","5267301751701441","PSC 3308, Box 2774, APO AA 20515","Yearly","Churned","FictionTales","Books","Fiction","332.00","2022-02-15","3","3","Reiciendis non illo eos doloremque et autem.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"37","Michelle Baldwin","3","M","New Amber","Croatia","5250044959721691","41735 Randall Track, South Cameron, CT 29788","Monthly","Churned","VegetablesBurst","Grocery","Vegetables","-7.00","2019-11-16","9","4","Assumenda voluptas deleniti non.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"38","Kelly King","150","F","Nicholasfurt","Zimbabwe","2584557211807549","Unit 2610 Box 4169, DPO AP 64967","Yearly","Churned","SofaDeluxe","Furniture","Sofa","958.00","2019-11-21","4","1","Ea eos sunt ut rerum vel error.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"39","Jacob Fuller","4","M","Coxview","Montenegro","2530558849674058","6123 Lynn Knolls Suite 730, Laceymouth, GA 55970","Yearly","Churned","ProShirt","Clothing","Shirt","-17.00","2020-03-16","3","4","Impedit optio est laborum quas necessitatibus odit ullam.","2024-01-23 08:32:40","2024-01-23 08:32:40"
"40","Patricia Campbell","150","F","Lopezview","Uzbekistan","2615640947069817","6035 Sanders Square Apt. 893, North Loriton, MI 27710","Yearly","Churned","JacketWear","Clothing","Jacket","136.00","2022-10-07","9","2","Repudiandae architecto magni exercitationem dolorum sint.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"41","Latoya Young","56","F","Lake Crystal","French Southern Territories","2266871105427180","62282 Warren Mill Suite 966, North Samantha, PA 71670","Yearly","Churned","PantsWear","Clothing","Pants","249.00","2022-11-13","5","4","Ut dolorem dolore laborum vero delectus.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"42","Derrick Brown","74","M","New Eric","Slovakia (Slovak Republic)","2440510015762554","08750 Mckay Valleys Suite 525, Dennisfort, RI 79694","Yearly","Churned","The Art of Non-fiction","Books","Non-fiction","-77.00","2023-05-13","9","5","Nulla repellendus perspiciatis distinctio ea libero eveniet alias est.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"43","Jason Campbell","89","F","East Paul","Cameroon","2267364594832416","5327 Dalton Vista, Princebury, MP 18022","Yearly","Churned","SnacksBurst","Grocery","Snacks","712.00","2022-04-13","1","3","Aut dolores ducimus velit non ipsum consequatur.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"44","Dustin Dean","74","F","North Daniel","Poland","2282705203017289","01061 Daniel Landing, Michaelberg, AK 32554","Yearly","Churned","JacketFits","Clothing","Jacket","-64.00","2020-04-03","3","2","Autem omnis officiis voluptatibus minima ullam id.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"45","Andrea Freeman","17","F","Roweshire","Cyprus","5195243583158209","4789 Jensen Dale, East Hunter, UT 94647","Yearly","Churned","ProPants","Clothing","Pants","361.00","2021-06-06","7","3","Consectetur architecto perspiciatis accusantium et.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"46","Brandon Mccormick","-4","F","Connietown","Chile","2720758581368022","9516 Katherine Path Apt. 734, North Andrew, OR 51333","Yearly","Active","PantsWear","Clothing","Pants","306.00","2023-03-08","9","1","Hic possimus distinctio consequatur vel tenetur eius.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"47","Jesse Bass","150","F","North Barbara","Svalbard & Jan Mayen Islands","2720259895925607","73956 Jessica Loaf Apt. 375, Janetville, TN 52460","Yearly","Churned","SpeakerPro","Electronics","Speaker","-5.00","2021-11-05","2","3","Eos eos eveniet quo necessitatibus.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"48","Jose Willis","3","M","Sanchezstad","Palestinian Territory","2299686416035519","PSC 5270, Box 3322, APO AA 79905","Yearly","Churned","FreshBeverages","Grocery","Beverages","970.00","2019-12-10","6","5","Laborum excepturi ratione voluptatem ut quisquam eum.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"49","Angela Jones","150","M","Port Caitlin","Svalbard & Jan Mayen Islands","2719948010454344","31949 King Groves, East Zacharyshire, NM 33882","Rarely","Active","ChairPlus","Furniture","Chair","333.00","2019-01-04","9","5","Sed pariatur rerum necessitatibus delectus et.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"50","Megan Mora","-2","M","Wilsonstad","Brazil","2239765721585674","18193 Kelly Ways, East Robert, AR 19000","Yearly","Churned","The Art of Educational","Books","Educational","-1.00","2022-05-28","10","5","Earum dolores voluptas non.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"51","Michael Morales","-2","M","Wilsonshire","Argentina","2233367437835166","USCGC Carroll, FPO AA 20749","Yearly","Churned","VegetablesBurst","Grocery","Vegetables","-86.00","2023-07-10","2","2","Eum eos tenetur iure eius animi qui.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"52","Bethany Ramirez","10","M","Ortegabury","Czech Republic","5564262547397631","778 Jamie Crest, Bartonberg, NE 17575","Rarely","Churned","MegaSpeaker","Electronics","Speaker","909.00","2021-04-23","7","4","Et veritatis eius ut perspiciatis dignissimos.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"53","Shannon Smith","150","F","Lake Jessica","Namibia","2259654662477148","0317 Kaitlin Brook, South Kellie, OK 88244","Monthly","Churned","UltraSpeaker","Electronics","Speaker","947.00","2022-07-22","6","2","Rerum voluptas nesciunt ratione eius qui qui omnis molestiae.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"54","Justin Harris","89","M","Mclaughlinburgh","Seychelles","2715158475632129","6199 Michael Spur, Joannshire, OR 19150","Yearly","Churned","ComfortSofa","Furniture","Sofa","-19.00","2021-11-01","8","1","Tempore ab voluptatum ad possimus.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"55","Alejandra Johnson","-5","M","West Pamela","Moldova","2708194803456559","065 Powell Brook, Blackberg, OH 64957","Yearly","Churned","MegaLaptop","Electronics","Laptop","80.00","2019-10-03","10","2","Iste nihil nulla harum odit aut.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"56","Corey Chase","47","M","East Joshua","Mali","2278312962011599","006 Jacob Loop, Brianamouth, PR 41696","Yearly","Churned","PantsWear","Clothing","Pants","-19.00","2022-12-11","9","2","Tempore sint quia eum sit quia accusantium voluptas.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"57","Misty Dalton","150","M","South Vanessa","Korea","5505129896410426","71254 Daniel Drive, East Richardhaven, AZ 89028","Rarely","Churned","TastyBeverages","Grocery","Beverages","896.00","2020-05-09","6","5","Sint in aut consequatur ex et quia.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"58","Kimberly Mcbride","13","M","New Jennifer","Germany","2276018786738075","384 James Rapid Apt. 383, New Josephport, DC 70276","Monthly","Churned","Non-fictionGuide","Books","Non-fiction","318.00","2020-07-24","2","1","Similique amet iusto amet consectetur.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"59","Alicia Serrano","150","F","Kristenport","Mismatched Country","2222867145323705","Unit 2623 Box 8553, DPO AP 22399","Rarely","Active","UltraSpeaker","Electronics","Speaker","165.00","2021-11-26","4","2","Sed voluptate temporibus molestias.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"60","Robert Rivera","32","M","Carrville","Saint Vincent and the Grenadines","2363378653232949","42125 Kevin Throughway Apt. 903, New Jennifer, NV 45169","Yearly","Churned","UltraLaptop","Electronics","Laptop","-66.00","2020-01-19","3","4","Vero voluptas consectetur est inventore ut.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"61","Audrey Martin","-2","M","Lake Michaelfort","Burkina Faso","5131977361805963","2420 Butler Drives, Richardsonland, ME 30993","Yearly","Active","FreshSnacks","Grocery","Snacks","-28.00","2023-01-21","2","2","Et cumque nesciunt eveniet consectetur quibusdam.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"62","Suzanne Mcpherson","35","F","West Brandonton","Mexico","2295459106923897","55882 Mccoy Village, Middletonberg, HI 72561","Rarely","Churned","The Art of Educational","Books","Educational","-72.00","2021-03-08","1","4","Quisquam repudiandae iure fugiat quia ipsum.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"63","Daniel Jacobs","77","F","Woodberg","Mismatched Country","2265532972946519","Unit 1754 Box 1609, DPO AP 88404","Rarely","Churned","BeveragesBurst","Grocery","Beverages","573.00","2021-12-21","2","1","Id vitae aliquid placeat corporis aut.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"64","Lisa Murphy","50","F","Lake Jamesstad","Venezuela","5240619181481512","630 Murray Freeway, Kylefort, ME 92918","Monthly","Active","ComfortTable","Furniture","Table","-16.00","2023-02-28","9","5","Dolorem necessitatibus ducimus et.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"65","Allison Gomez","-2","M","Barneshaven","Guam","2707525562133007","70695 Debra Gateway Suite 501, West Jennifer, MH 27194","Yearly","Churned","FreshVegetables","Grocery","Vegetables","-77.00","2019-11-03","8","3","Aliquam earum voluptatum voluptas.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"66","Kelly Webster","150","F","North Kevin","Guatemala","2548650676477695","253 Bennett Knoll, Codyborough, SC 00513","Yearly","Active",NULL,"Clothing","Shirt","100.00","2023-04-15","1","3","Fugit voluptas nesciunt aut vel.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"67","Mrs. Elizabeth Davis","94","F","East Toddtown","South Africa","2261084436805216","PSC 9757, Box 6911, APO AE 88098","Yearly","Active","MegaLaptop","Electronics","Laptop","-86.00","2021-10-30","2","4","Porro provident temporibus et rerum enim.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"68","David Fleming","4","M","Port Omarview","Guam","2543566205989106","4869 Washington Coves, Ortegashire, AR 43663","Yearly","Churned","ProPants","Clothing","Pants","-28.00","2021-09-14","2","4","Esse quidem quia labore totam porro vero.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"69","Jessica Harrison","32","M","Port Bernardborough","Cambodia","2720933792777838","831 Wendy Roads Apt. 800, Lake Emma, IA 90407","Rarely","Active","ChairDeluxe","Furniture","Chair","-28.00","2020-06-23","2","3","Laboriosam et ipsa aut alias.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"70","Christine Moreno","150","F","Jacksontown","Guadeloupe","2283363255697167","5139 Dixon Village Suite 519, North Bradleyside, NH 17233","Monthly","Active","FreshVegetables","Grocery","Vegetables","-99.00","2022-06-24","6","4","Odio omnis repellendus et perferendis asperiores dicta omnis.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"71","Martin Butler","30","M","Port Jasonfort","Switzerland","5227668568326938","USS Ochoa, FPO AE 18241","Monthly","Churned","ChairPlus","Furniture","Chair","733.00","2022-03-19","6","5","Deleniti quia ipsam deleniti voluptates porro voluptatibus.","2024-01-23 08:32:41","2024-01-23 08:32:41"
"72","Randy Smith","20","F","Denisehaven","Egypt","2717600372341922","1420 Anderson Squares Apt. 545, Murraytown, NJ 78653","Yearly","Churned","FreshSnacks","Grocery","Snacks","-59.00","2020-10-31","6","5","Nam earum aut sit impedit.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"73","Lynn Ortiz","150","M","Howeborough","France","2238951898997055","30278 Love Streets Suite 441, North Maria, ME 81645","Rarely","Active","TablePlus","Furniture","Table","379.00","2023-07-04","10","1","Et quas dolor minima aliquam reprehenderit facilis.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"74","Cindy Wells","61","M","Port Carla","Norfolk Island","2705543753524811","Unit 7552 Box 4265, DPO AP 37113","Monthly","Churned","ShirtWear","Clothing","Shirt","519.00","2022-12-11","10","3","Velit ut et nisi et quia quae.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"75","Bonnie Martin","41","F","Gailberg","Saint Barthelemy","2224196329260261","6310 Francis Port, Alexandraside, VI 60631","Yearly","Churned","LaptopPro","Electronics","Laptop","176.00","2020-06-07","2","5","Expedita omnis a sunt natus sunt necessitatibus officia quis.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"76","Kyle Nunez","150","M","Lindseyfurt","Panama","5218350235026685","699 David Ford Suite 804, North Kimberly, DE 08845","Yearly","Churned","Non-fictionGuide","Books","Non-fiction","-73.00","2021-05-29","9","2","Et et et dignissimos placeat est omnis.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"77","Joan Watts","2","F","Port Penny","Niue","2720243958931520","291 Greg Place Suite 871, Josephburgh, PA 98612","Yearly","Active","PantsFits","Clothing","Pants","-68.00","2021-05-26","9","4","Dolorum esse tenetur est ratione eos aspernatur.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"78","Jacob Eaton","5","F","Davidmouth","Ethiopia","2247861652964226","7095 Caleb Mountains, Virginiaburgh, FL 11239","Yearly","Active","ComfortSofa","Furniture","Sofa","140.00","2022-07-11","3","5","Tenetur nostrum dolor et a.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"79","Mary Foster","53","F","New Matthewborough","Saint Helena","2720511938852606","46729 Daniel Glen, Danachester, WY 85044","Yearly","Active","ProPants","Clothing","Pants","-88.00","2020-10-21","7","2","Eum aut nostrum sequi adipisci quo.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"80","Bradley Aguilar","100","F","Beckystad","Timor-Leste","2288756359759350","28863 Richardson Isle, Ortegamouth, NC 87086","Yearly","Churned","SofaDeluxe","Furniture","Sofa","-22.00","2023-05-02","2","2","Pariatur facilis dolorum sed accusantium.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"81","Peter Pierce","34","M","Gillespietown","Zambia","5550816368254886","798 Garza Throughway, Buchananhaven, VT 48619","Yearly","Churned","FreshSnacks","Grocery","Snacks","237.00","2021-01-12","2","2","Voluptatem vitae modi repudiandae repellendus.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"82","Allison Williams","150","F","Melissaborough","Mismatched Country","5464085799969000","475 Mills Forges Apt. 361, Port Andrewton, FM 60143","Yearly","Churned","Non-fictionTales","Books","Non-fiction","-71.00","2021-04-06","6","2","Molestiae voluptatem ut qui corporis quas quia quia.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"83","Jonathan Williams","56","M","Mitchellhaven","Suriname","2582102998324277","8765 Joshua Burg Apt. 764, Lake Stevenmouth, PA 03845","Yearly","Active","ComfortTable","Furniture","Table","692.00","2023-03-19","4","5","Consectetur necessitatibus et cupiditate magnam nemo.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"84","Mrs. Emily Campbell","150","F","Annaland","Portugal","5548939915555954","PSC 4597, Box 3246, APO AP 56782","Rarely","Churned","ComfortSofa","Furniture","Sofa","-75.00","2019-06-22","4","4","Sed et vel et non porro autem officiis.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"85","Nicole Collins","150","F","Melissaside","Mozambique","5422796515110353","58923 Davis Village Apt. 257, North James, MT 69841","Yearly","Churned","PhoneMaster","Electronics","Phone","834.00","2022-01-12","1","5","Tempora beatae iste rerum atque.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"86","Kenneth Lopez","150","M","East Joseville","Liberia","2407202983068179","696 Michael Land, Lake Lawrence, FM 35107","Yearly","Churned",NULL,"Grocery","Beverages","140.00","2019-03-29","6","5","Impedit quia reprehenderit et voluptas ex aliquid.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"87","James Robbins","150","F","West Angela","Bulgaria","5191637390998836","03674 Walker Prairie Suite 658, New Nicole, GU 14772","Yearly","Churned","PantsFits","Clothing","Pants","-78.00","2020-03-14","3","4","Accusantium ut architecto dolor odio vitae quidem.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"88","Stacey Coleman","150","F","Jefferyfort","Turkmenistan","5384989678846188","50637 Brooks Drives Suite 454, Lake Jasonview, AR 73663","Rarely","Active","PantsWear","Clothing","Pants","925.00","2023-08-30","5","2","Est eaque totam in sunt facere impedit.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"89","Rachel Ruiz","-3","M","East Angelatown","Pakistan","2281030651113642","728 Matthew Rapids, Andrewsfurt, IA 52591","Yearly","Churned","Non-fictionGuide","Books","Non-fiction","794.00","2023-11-13","10","5","Id tenetur voluptatem et provident laudantium.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"90","Erin Austin","85","M","South Angela","United Arab Emirates","2474915342113695","1772 Williamson Bridge Apt. 298, Christinechester, AZ 50439","Yearly","Active","VegetablesBurst","Grocery","Vegetables","246.00","2022-05-02","2","5","Nisi aperiam dolorum consequuntur rerum neque quia sit.","2024-01-23 08:32:42","2024-01-23 08:32:42"
"91","Tracey Lynn MD","150","F","West Tamara","Colombia","5157767817158771","626 Richard Villages Suite 691, Michaelside, MT 11801","Yearly","Churned","JacketWear","Clothing","Jacket","-74.00","2020-09-30","6","1","Nulla quidem aut blanditiis hic ad.","2024-01-23 08:32:42","2024-01-23 08:32:42"
